brand,product_name,product_url,image_url,product_price,description,metadata,metadata_features
GlobalDesi,Off White Butti Printed Viscose Kurta Set,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurta-Sets-S25M2153P_OFF_WHITE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw24c084ce/images/hires/SS22/GD-F24M2153P-OFF-WHITE-(3).jpg?sw=1300&sh=1950&sm=fit&strip=false,7990.0,"This set showcases an elegant butti print throughout, adorned with delicate embroidery on the neckline and sleeves, complemented by mirror work. It includes a matching dupatta with a placement print. Made from 100% viscose, its breezy silhouette makes it an excellent choice for your casual outings.",{},
GlobalDesi,Abstract floral co-ord,https://www.globaldesi.in/Women/All-Clothing/Co-ords-SS24GM0143PRL_NAVY.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwebbee357/images/hires/S23/GD-SS24GM0143PRL-NAVY-(9).jpg?sw=1300&sh=1950&sm=fit&strip=false,2245.0,"Embrace the blues this summer with this gorgeous floral printed co-ord. Featuring abstract floral print, an overlap crop top and wide leg pants, this 3-piece set is perfect when you want to channel your inner sunshine.",{},
GlobalDesi,Rang Aasmani Kurta,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurtas-S25M8KU_BLUE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwb13206d2/images/hires/SS22/S25M8KU_BLUE_(1).jpg?sw=1300&sh=1950&sm=fit&strip=false,2690.0,"Step out in style in our beautiful blue kurta set. Featuring flora-inspired prints, this kurta is crafted in a modal satin blend, allowing you to move around in it freely. It comes with front pleat detailing and pockets to make it a versatile style. Pair it with straight or flared pants to elevate your look.
The scarf seen on the model is for styling purpose only.",{},
GlobalDesi,Blue Viscose Draped Skirt & Halter Top Set,https://www.globaldesi.in/Women/All-Clothing/Co-ords-F24S12P_BLUE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwe77e826b/images/hires/SS22/GD-F24S12P-BLUE-(1).jpg?sw=1300&sh=1950&sm=fit&strip=false,5990.0,"Upgrade your destination wedding wardrobe with this indigo blue draped skirt and halter top set. Crafted from viscose fabric, it offers a timeless silhouette with a contemporary twist. Featuring statement floral details in butti print, it sits on your frame with a slim fit and a full-length asymmetric drape skirt, adding a modern touch to your look.",{},
GlobalDesi,Embroidered Cotton Peach Top,https://www.globaldesi.in/Women/All-Clothing/Tops-SS24GS162TPRYS_PEACH.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwb1cc6a32/images/hires/S23/GD-SS24GS162TPRYS--PEACH-(7).jpg?sw=1300&sh=1950&sm=fit&strip=false,1045.0,"Add an Indian twist to your everyday style with this top. Featuring ethnic embriodery along the neckline, gathers at the waist and a casual V-neck with, this top has been crafted with 100% cotton to keep you cool this summer.",{},
GlobalDesi,Off White Motif Print Viscose Set,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurta-Sets-F24M2143P_OFF_WHITE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw8fa64948/images/hires/SS22/GD-F24M2143P-OFFWHI-(5).jpg?sw=1300&sh=1950&sm=fit&strip=false,7490.0,"This kurta set showcases an ethnic motif-print all over with delicate embroidery on the neckline. Its breezy silhouette makes it a comfortable pick for both, work and weekend. It comes crafted in 100% viscose.",{},
GlobalDesi,Yellow Viscose Blend Flared Kurta,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurtas-SS24GS092KUCHD_YELLOW.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwe7f13e35/images/hires/S23/GD-SS24GS092KUCHD-YELLOW-(1)-copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,2295.0,"A classic festive kurta with an embroidered yoke and side tie-ups, this one is bound to get you loads of attention. Slip it on and twirl at your next desi party.",{},
GlobalDesi,Mustard Viscose Front-Open Top,https://www.globaldesi.in/Women/All-Clothing/Tops-F24M121TP_YELLOW.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw2f6dfd17/images/hires/SS22/GD-F24M121TP-YELLOW-(3).jpg?sw=1300&sh=1950&sm=fit&strip=false,3590.0,"This mustard front open top is crafted from rayon dobby fabric and features intricate mirror and thread work embroidery on the front and sleeves. The small collar with loop buttons adds a touch of elegance to the design. Ideal for casual outings, day events, and informal gatherings, this top pairs beautifully with white pants for a stylish look.",{},
GlobalDesi,Abstract Print Blue Viscose Kurta,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurtas-SS24GG182KURTW_BLUE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw1088ccb1/images/hires/S23/GD-SS24GG182KURTW-BLUE-(3)-copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,995.0,"Spend summer stylishly with this viscose kurta. Featuring a chevron print with hand-drawn dots on a sleeveless V-neck, this kurta is as easy and breezy as it gets.",{},
GlobalDesi,Shiza Top,https://www.globaldesi.in/Women/All-Clothing/Tops-S25S93TP_WHITE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwca221200/images/hires/SS22/S25S93TP_OFF%20WHITE_1%20copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,1690.0,"Blend comfort with elegance in this top crafted from soft & flowy modal fabric. Adorned with Indian-inspired prints on the yoke & sleeves, this top comes with gathers on the front that elevate its silhouette. With three-quarter bell sleeves and a round neckline, it can be paired with white pants or denim.",{},
GlobalDesi,Gulbaro Top,https://www.globaldesi.in/Women/All-Clothing/Tops-S25S20TP_PINK.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw10388e05/images/hires/SS22/S25S20TP_PINK_(5).jpg?sw=1300&sh=1950&sm=fit&strip=false,3090.0,"Elevate your casual wear in this elegant pink top that comes in a relaxed fit. Crafted in soft & breathable cotton for all-day comfort, this top features India-inspired prints, that add a touch of feminine elegance to your look. With three-quarter cuff sleeves and a round neckline, you can style it up with beaded jewellery or delicate metal danglers to match the occasion.
Set Includes: Top
The bottom seen on the model is for styling purpose only.",{},
GlobalDesi,Phool Crush Co-ord,https://www.globaldesi.in/Women/All-Clothing/Co-ords-S25R492P_PINK.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw3c26e922/images/hires/SS22/S25R492P_PINK%20(3)%20copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,4990.0,"A vibrant pink co-ord set featuring vibrant floral prints all over makes this one perfect for daytime. Crafted in viscose fabric, the relaxed fit makes it easy to wear and the button-down detail gives unlimited opportunities to style this co-ord, much like your other breezy weekend outfits.",{},
